reason,channel,status,user_id,created_date
METAL_RESERVE_PLAN,SMS,SENT,user_3964,2018-10-20 00:14:35.008685+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6357,2018-10-20 14:39:43.328039+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6602,2018-10-20 16:06:42.890546+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4445,2018-10-21 19:21:46.109991+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5238,2018-10-22 01:42:28.977675+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8450,2018-10-20 07:15:57.169396+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8548,2018-10-20 08:05:01.758706+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8886,2018-10-20 11:28:59.858132+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1546,2018-10-20 23:28:57.425916+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4259,2018-10-20 12:40:08.490107+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3331,2018-10-20 10:49:40.846062+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4695,2018-10-20 01:46:49.182987+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1739,2018-10-20 06:30:52.744086+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_5124,2018-10-20 21:39:00.168435+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4856,2018-10-21 17:08:11.861085+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6212,2018-10-22 11:04:09.318838+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1638,2018-10-20 08:06:28.483600+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2522,2018-10-11 15:51:19.935001+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9158,2018-10-12 05:31:33.746097+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6991,2018-10-20 21:37:08.775107+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6299,2018-10-20 20:37:03.675243+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2760,2018-10-20 23:38:18.641695+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4269,2018-10-20 13:53:59.700873+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6179,2018-10-20 18:16:19.979729+00:00
